Sun Jun 10 02:35:46 2018

   AbsTime(Us)      Delta            debugid                       arg1             arg2             arg3             arg4              thread         cpu#  command

          0.0        0.0             BSC_thread_selfid             0                0                0                0                 1597ee            2  go
          0.9        0.9(0.9)        BSC_thread_selfid             0                1597ee           0                3f42              1597ee            2  go
         24.2       23.3             BSC_issetugid                 0                0                0                0                 1597ee            2  go
         24.5        0.2(0.2)        BSC_issetugid                 0                0                0                3f42              1597ee            2  go
         28.5        4.1             BSC_csrctl                    0                5fbfe97c         4                0                 1597ee            2  go
         29.1        0.6(0.6)        BSC_csrctl                    1                0                0                3f42              1597ee            2  go
         29.3        0.2             BSC_csops                     0                0                5fbfea50         4                 1597ee            2  go
         31.0        1.7(1.7)        BSC_csops                     0                0                0                3f42              1597ee            2  go
        110.1       79.1             BSC_shared_region_check_np    5fbfc068         0                5fbfea50         4                 1597ee            2  go
        111.2        1.1(1.1)        BSC_shared_region_check_np    0                0                0                3f42              1597ee            2  go
        118.0        6.7             BSC_getpid                    0                0                0                0                 1597ee            2  go
        118.2        0.2(0.2)        BSC_getpid                    0                3f42             0                3f42              1597ee            2  go
        118.6        0.4             BSC_proc_info                 2                3f42             8                fdf2000           1597ee            2  go
        128.9       10.4(10.4)       BSC_proc_info                 0                4f8              0                3f42              1597ee            2  go
        135.3        6.4             BSC_stat64                    1000920          5fbfdcf8         8                fdf2000           1597ee            2  go
        144.8        9.4(9.4)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        155.9       11.1             BSC_stat64                    1000988          5fbfdcf8         8                fdf2000           1597ee            2  go
        160.9        5.0(5.0)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        165.7        4.8             BSC_stat64                    10009e8          5fbfdcf8         8                fdf2000           1597ee            2  go
        169.2        3.6(3.6)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        175.0        5.8             BSC_stat64                    ffffffffaff14048 5fbfdbb8         8                fdf2000           1597ee            2  go
        178.1        3.0(3.0)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        182.2        4.1             BSC_stat64                    ffffffffaff14090 5fbfdbb8         8                fdf2000           1597ee            2  go
        184.9        2.7(2.7)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        188.7        3.8             BSC_stat64                    ffffffffaff140c8 5fbfdbb8         8                fdf2000           1597ee            2  go
        191.7        3.0(3.0)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        196.8        5.1             BSC_stat64                    ffffffffaff14100 5fbfdbb8         8                fdf2000           1597ee            2  go
        199.3        2.5(2.5)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        207.6        8.3             BSC_stat64                    ffffffffc452b5d8 5fbfd6e8         8                fdf2000           1597ee            2  go
        211.3        3.7(3.7)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        215.4        4.2             BSC_stat64                    ffffffffc452b610 5fbfd6e8         8                fdf2000           1597ee            2  go
        218.1        2.7(2.7)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        221.9        3.8             BSC_stat64                    ffffffffc452b650 5fbfd6e8         8                fdf2000           1597ee            2  go
        224.9        3.0(3.0)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        228.8        4.0             BSC_stat64                    ffffffffc452b690 5fbfd6e8         8                fdf2000           1597ee            2  go
        232.2        3.3(3.3)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        236.2        4.0             BSC_stat64                    ffffffffc452b6d0 5fbfd6e8         8                fdf2000           1597ee            2  go
        239.9        3.7(3.7)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        244.0        4.1             BSC_stat64                    ffffffffc452b710 5fbfd6e8         8                fdf2000           1597ee            2  go
        246.9        2.8(2.8)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        251.9        5.0             BSC_stat64                    ffffffffc452b750 5fbfd6e8         8                fdf2000           1597ee            2  go
        254.9        3.1(3.1)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        259.1        4.2             BSC_stat64                    ffffffffc452b788 5fbfd6e8         8                fdf2000           1597ee            2  go
        262.4        3.2(3.2)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        266.5        4.1             BSC_stat64                    ffffffffc452b7c0 5fbfd6e8         8                fdf2000           1597ee            2  go
        269.2        2.7(2.7)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        273.0        3.8             BSC_stat64                    ffffffffc452b7f8 5fbfd6e8         8                fdf2000           1597ee            2  go
        275.6        2.6(2.6)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        279.7        4.1             BSC_stat64                    ffffffffc452b830 5fbfd6e8         8                fdf2000           1597ee            2  go
        282.6        2.9(2.9)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        286.9        4.2             BSC_stat64                    ffffffffc452b870 5fbfd6e8         8                fdf2000           1597ee            2  go
        289.4        2.6(2.6)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        293.5        4.1             BSC_stat64                    ffffffffc452b8b0 5fbfd6e8         8                fdf2000           1597ee            2  go
        296.4        2.9(2.9)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        300.7        4.3             BSC_stat64                    ffffffffc452b8f0 5fbfd6e8         8                fdf2000           1597ee            2  go
        303.7        3.0(3.0)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        307.8        4.1             BSC_stat64                    ffffffffc452b930 5fbfd6e8         8                fdf2000           1597ee            2  go
        310.5        2.7(2.7)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        314.9        4.4             BSC_stat64                    ffffffffc452b970 5fbfd6e8         8                fdf2000           1597ee            2  go
        318.0        3.1(3.1)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        322.4        4.4             BSC_stat64                    ffffffffc452b9b8 5fbfd6e8         8                fdf2000           1597ee            2  go
        325.8        3.5(3.5)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        330.2        4.3             BSC_stat64                    ffffffffc452ba00 5fbfd6e8         8                fdf2000           1597ee            2  go
        333.5        3.3(3.3)        BSC_stat64                    0                0                0                3f42              1597ee            2  go


Number of microsecs since in last page    338.0
   AbsTime(Us)      Delta            debugid                       arg1             arg2             arg3             arg4              thread         cpu#  command

